"kooskolastaja";"tahtaeg";"vastamisaeg";"markused";"aktinimi";"link"
"Maaeluministeerium";"Tähtaeg: 03.05.2016 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2005. aasta määruse nr 61 „Isikunime andmisel ja kohaldamisel kasutatavate eesti-ladina tähtede ja sümbolite loetelu ning võõrkeelsete isikunimede ümberkirjutusreeglid“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/d8a3024a-a257-45dd-b90c-303b45c550bd?activity=1"
"Kultuuriministeerium";"Tähtaeg: 03.05.2016 23:59";"Vastatud: 21.04.2016 09:32";"Kooskõlastatud";"Vabariigi Valitsuse 18. märtsi 2005. aasta määruse nr 61 „Isikunime andmisel ja kohaldamisel kasutatavate eesti-ladina tähtede ja sümbolite loetelu ning võõrkeelsete isikunimede ümberkirjutusreeglid“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/d8a3024a-a257-45dd-b90c-303b45c550bd?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 03.05.2016 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2005. aasta määruse nr 61 „Isikunime andmisel ja kohaldamisel kasutatavate eesti-ladina tähtede ja sümbolite loetelu ning võõrkeelsete isikunimede ümberkirjutusreeglid“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/d8a3024a-a257-45dd-b90c-303b45c550bd?activity=1"
"Sotsiaalministeerium";"Tähtaeg: 03.05.2016 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2005. aasta määruse nr 61 „Isikunime andmisel ja kohaldamisel kasutatavate eesti-ladina tähtede ja sümbolite loetelu ning võõrkeelsete isikunimede ümberkirjutusreeglid“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/d8a3024a-a257-45dd-b90c-303b45c550bd?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 03.05.2016 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2005. aasta määruse nr 61 „Isikunime andmisel ja kohaldamisel kasutatavate eesti-ladina tähtede ja sümbolite loetelu ning võõrkeelsete isikunimede ümberkirjutusreeglid“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/d8a3024a-a257-45dd-b90c-303b45c550bd?activity=1"
"Välisministeerium";"Tähtaeg: 03.05.2016 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2005. aasta määruse nr 61 „Isikunime andmisel ja kohaldamisel kasutatavate eesti-ladina tähtede ja sümbolite loetelu ning võõrkeelsete isikunimede ümberkirjutusreeglid“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/d8a3024a-a257-45dd-b90c-303b45c550bd?activity=1"
"Rahandusministeerium";"Tähtaeg: 10.05.2016 23:59";"Edastatud";"";"Nõusolek riigivara otsustuskorras tasuta kasutada andmiseks ja tasuta otsustuskorras võõrandamiseks";"https://eelnoud.valitsus.ee/main/mount/docList/0d5c4005-d134-40bc-808b-bdc3cef7ebaf?activity=1"
"Siseministeerium";"Tähtaeg: 13.01.2016 23:59";"Tähtaeg ületatud";"";"Kaitseväe korralduse seaduse muutmise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/0b613564-5dbf-4cf0-8b58-5ab167613f70?activity=2"
"Justiitsministeerium";"Tähtaeg: 23.02.2016 23:59";"Vastatud: 26.02.2016 14:29";"Kooskõlastatud märkustega";"Kaitseväe korralduse seaduse muutmise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/0b613564-5dbf-4cf0-8b58-5ab167613f70?activity=2"
"Siseministeerium";"Tähtaeg: 13.01.2016 23:59";"Tähtaeg ületatud";"";"Kaitseväe korralduse seaduse muutmise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/0b613564-5dbf-4cf0-8b58-5ab167613f70?activity=1"
"Justiitsministeerium";"Tähtaeg: 23.02.2016 23:59";"Vastatud: 26.02.2016 14:29";"Kooskõlastatud märkustega";"Kaitseväe korralduse seaduse muutmise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/0b613564-5dbf-4cf0-8b58-5ab167613f70?activity=1"
"Rahandusministeerium";"Tähtaeg: 29.03.2016 23:59";"Vastatud: 01.04.2016 14:28";"Kooskõlastatud";"Nõusolek riigivara otsustuskorras tasuta kasutada andmiseks";"https://eelnoud.valitsus.ee/main/mount/docList/df407305-d8d0-4569-b990-f5696f3c6d85?activity=1"
"Kaitseministeerium";"Tähtaeg: 08.12.2015 23:59";"Vastatud: 10.12.2015 16:03";"Mitte kooskõlastatud";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=2"
"Rahandusministeerium";"Tähtaeg: 08.12.2015 23:59";"Vastatud: 15.12.2015 14:30";"Mitte kooskõlastatud";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=2"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 08.12.2015 23:59";"Tähtaeg ületatud";"";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=2"
"Kaitseministeerium";"Tähtaeg: 05.02.2016 23:59";"Vastatud: 23.02.2016 14:03";"Kooskõlastatud märkustega";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=2"
"Rahandusministeerium";"Tähtaeg: 05.02.2016 23:59";"Vastatud: 28.04.2016 10:02";"Mitte kooskõlastatud";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=2"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 05.02.2016 23:59";"Vastatud: 08.02.2016 14:47";"Kooskõlastatud";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=2"
"Kaitseministeerium";"Tähtaeg: 08.12.2015 23:59";"Vastatud: 10.12.2015 16:03";"Mitte kooskõlastatud";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=1"
"Rahandusministeerium";"Tähtaeg: 08.12.2015 23:59";"Vastatud: 15.12.2015 14:30";"Mitte kooskõlastatud";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 08.12.2015 23:59";"Tähtaeg ületatud";"";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=1"
"Kaitseministeerium";"Tähtaeg: 05.02.2016 23:59";"Vastatud: 23.02.2016 14:03";"Kooskõlastatud märkustega";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=1"
"Rahandusministeerium";"Tähtaeg: 05.02.2016 23:59";"Vastatud: 28.04.2016 10:02";"Mitte kooskõlastatud";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 05.02.2016 23:59";"Vastatud: 08.02.2016 14:47";"Kooskõlastatud";"Memorandum";"https://eelnoud.valitsus.ee/main/mount/docList/0054dc24-290e-4380-848a-b89bb6e36beb?activity=1"
"Kaitseministeerium";"Tähtaeg: 17.12.2015 23:59";"Tähtaeg ületatud";"";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Haridus- ja Teadusministeerium";"Tähtaeg: 30.12.2015 23:59";"Vastatud: 22.12.2015 15:42";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Rahandusministeerium";"Tähtaeg: 23.12.2015 23:59";"Vastatud: 05.01.2016 16:33";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Justiitsministeerium";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 28.01.2016 13:10";"Mitte kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Maaeluministeerium";"Tähtaeg: 30.12.2015 23:59";"Vastatud: 31.12.2015 11:25";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Kultuuriministeerium";"Tähtaeg: 22.12.2015 23:59";"Vastatud: 30.12.2015 16:48";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Sotsiaalministeerium";"Tähtaeg: 23.12.2015 23:59";"Vastatud: 22.12.2015 17:04";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Siseministeerium";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 14.12.2015 10:11";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Keskkonnaministeerium";"Tähtaeg: 17.12.2015 23:59";"Tähtaeg ületatud";"";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Välisministeerium";"Tähtaeg: 31.12.2015 23:59";"Vastatud: 05.01.2016 11:46";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Eesti Maaomavalitsuste Liit";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 23.12.2015 13:49";"Mitte kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Riigikantselei";"Tähtaeg: 30.12.2015 23:59";"Vastatud: 05.01.2016 08:56";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Eesti Linnade Liit";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 30.12.2015 17:30";"Mitte kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Riigikohus";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 16.12.2015 09:21";"
Ava15-1672/0416.12.2015 09:21Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
Kiri -Teenuste korraldamise ja teabehalduse alused määruse eelnõu.bdoc16.12.2015 09:21251.64 kBVaata andmeid
Kiri -Teenuste korraldamise ja teabehalduse alused määruse eelnõu.pdfAva PDF16.12.2015 09:21253.09 kBVaata andmeid
";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Tähtaeg: 17.12.2015 23:59";"Vastatud: 16.12.2015 16:51";"
Ava15-1672/0716.12.2015 16:51Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
teabehaldus_määrus_dets2015.bdocArvamus teenuste korraldamise ja teabehalduse alustele16.12.2015 16:50458.41 kBVaata andmeid
teabehaldus_määrus_dets2015.pdfAva PDF16.12.2015 16:50460.62 kBVaata andmeid
";"Ava";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Vastatud: 15.12.2015 17:24";"
Ava15-1672/0315.12.2015 17:24Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
0732-1 20151215 Vabariigi Valitsuse maaruse _Teenuste korraldamise ja teabehalduse alused eelnou osas arvamuse avaldamine.bdoc15.12.2015 17:21249.07 kBVaata andmeid
0732-1 20151215 Majandus- ja Kommunikatsiooniministeerium  Vabariigi Valitsuse maaruse _Teenuste korraldamise ja teabehalduse alused eelnou osas arvamuse avaldamine.pdfAva PDF15.12.2015 17:21262.20 kBVaata andmeid
";"Ava";"Riigikogu Kantselei";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"
Ava15-1672/0516.12.2015 14:27Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
6-3-15-15-2_-_Arvamuse_andmine_VV_määruse_eelnõule.bdoc16.12.2015 14:25151.87 kBVaata andmeid
Arvamuse andmine VV määruse eelnõule.pdfAva PDF16.12.2015 14:25150.38 kBVaata andmeid
";"Ava";"Õiguskantsleri Kantselei";"Tähtaeg: 17.12.2015 23:59";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Ava";"Riigikontroll";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 16.12.2015 16:43";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Kaitseministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 20.04.2016 16:44";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Justiitsministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 22.04.2016 09:10";"Mitte kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Rahandusministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 04.05.2016 07:39";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Siseministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 19.04.2016 10:06";"Kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Sotsiaalministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 18.04.2016 14:55";"Kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Eesti Linnade Liit";"Tähtaeg: 19.04.2016 23:59";"Tähtaeg ületatud";"";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Haridus- ja Teadusministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 19.04.2016 14:40";"Kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Eesti Maaomavalitsuste Liit";"Tähtaeg: 19.04.2016 23:59";"Tähtaeg ületatud";"";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Maaeluministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 19.04.2016 17:33";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Riigikantselei";"Tähtaeg: 19.04.2016 23:59";"Tähtaeg ületatud";"";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Kultuuriministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 21.04.2016 16:49";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Keskkonnaministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 25.04.2016 11:18";"Mitte kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Välisministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 19.04.2016 14:32";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Riigikohus";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 18.04.2016 10:31";"
Ava15-1672/2018.04.2016 10:31Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
Kiri-Teenuste korraldamise ja teabehalduse alused.bdocEE18.04.2016 10:29218.53 kBVaata andmeid
Kiri-Teenuste korraldamise ja teabehalduse alused.pdfAva PDF18.04.2016 10:29216.48 kBVaata andmeid
";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Tähtaeg: 19.04.2016 23:59";"Vastatud: 20.04.2016 08:56";"
Ava15-1672/2420.04.2016 08:56Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
Vastuskiri_arvamus.bdocTeenuste korraldamise ja teabehalduse alused20.04.2016 08:56291.99 kBVaata andmeid
Vastuskiri_arvamus.pdfAva PDF20.04.2016 08:56289.14 kBVaata andmeid
";"Ava";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Vastatud: 15.04.2016 10:44";"Eesti Pangal ei ole muudatusettepanekuid ja täiendusi";"Ava";"Riigikogu Kantselei";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"
Ava15-1672/2119.04.2016 12:12Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
Täiendava arvamuse esitamne.pdfAva PDF19.04.2016 12:10161.74 kBVaata andmeid
";"Ava";"Õiguskantsleri Kantselei";"Tähtaeg: 19.04.2016 23:59";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Ava";"Riigikontroll";"Tähtaeg: 19.04.2016 23:59";"Ei ole esitatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=2"
"Kaitseministeerium";"Tähtaeg: 17.12.2015 23:59";"Tähtaeg ületatud";"";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Haridus- ja Teadusministeerium";"Tähtaeg: 30.12.2015 23:59";"Vastatud: 22.12.2015 15:42";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Rahandusministeerium";"Tähtaeg: 23.12.2015 23:59";"Vastatud: 05.01.2016 16:33";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Justiitsministeerium";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 28.01.2016 13:10";"Mitte kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Maaeluministeerium";"Tähtaeg: 30.12.2015 23:59";"Vastatud: 31.12.2015 11:25";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Kultuuriministeerium";"Tähtaeg: 22.12.2015 23:59";"Vastatud: 30.12.2015 16:48";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Sotsiaalministeerium";"Tähtaeg: 23.12.2015 23:59";"Vastatud: 22.12.2015 17:04";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Siseministeerium";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 14.12.2015 10:11";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 17.12.2015 23:59";"Tähtaeg ületatud";"";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Välisministeerium";"Tähtaeg: 31.12.2015 23:59";"Vastatud: 05.01.2016 11:46";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Eesti Maaomavalitsuste Liit";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 23.12.2015 13:49";"Mitte kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Riigikantselei";"Tähtaeg: 30.12.2015 23:59";"Vastatud: 05.01.2016 08:56";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Eesti Linnade Liit";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 30.12.2015 17:30";"Mitte kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Riigikohus";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 16.12.2015 09:21";"
Ava15-1672/0416.12.2015 09:21Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
Kiri -Teenuste korraldamise ja teabehalduse alused määruse eelnõu.bdoc16.12.2015 09:21251.64 kBVaata andmeid
Kiri -Teenuste korraldamise ja teabehalduse alused määruse eelnõu.pdfAva PDF16.12.2015 09:21253.09 kBVaata andmeid
";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Tähtaeg: 17.12.2015 23:59";"Vastatud: 16.12.2015 16:51";"
Ava15-1672/0716.12.2015 16:51Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
teabehaldus_määrus_dets2015.bdocArvamus teenuste korraldamise ja teabehalduse alustele16.12.2015 16:50458.41 kBVaata andmeid
teabehaldus_määrus_dets2015.pdfAva PDF16.12.2015 16:50460.62 kBVaata andmeid
";"Ava";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Vastatud: 15.12.2015 17:24";"
Ava15-1672/0315.12.2015 17:24Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
0732-1 20151215 Vabariigi Valitsuse maaruse _Teenuste korraldamise ja teabehalduse alused eelnou osas arvamuse avaldamine.bdoc15.12.2015 17:21249.07 kBVaata andmeid
0732-1 20151215 Majandus- ja Kommunikatsiooniministeerium  Vabariigi Valitsuse maaruse _Teenuste korraldamise ja teabehalduse alused eelnou osas arvamuse avaldamine.pdfAva PDF15.12.2015 17:21262.20 kBVaata andmeid
";"Ava";"Riigikogu Kantselei";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"
Ava15-1672/0516.12.2015 14:27Teenuste korraldamise ja teabehalduse alusedFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
6-3-15-15-2_-_Arvamuse_andmine_VV_määruse_eelnõule.bdoc16.12.2015 14:25151.87 kBVaata andmeid
Arvamuse andmine VV määruse eelnõule.pdfAva PDF16.12.2015 14:25150.38 kBVaata andmeid
";"Ava";"Õiguskantsleri Kantselei";"Tähtaeg: 17.12.2015 23:59";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Ava";"Riigikontroll";"Tähtaeg: 17.12.2015 23:59";"Vastatud: 16.12.2015 16:43";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Kaitseministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 20.04.2016 16:44";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Justiitsministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 22.04.2016 09:10";"Mitte kooskõlastatud";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
"Rahandusministeerium";"Tähtaeg: 19.04.2016 23:59";"Vastatud: 04.05.2016 07:39";"Kooskõlastatud märkustega";"Teenuste korraldamise ja teabehalduse alused";"https://eelnoud.valitsus.ee/main/mount/docList/e0e969c6-4e9f-4d95-952f-69a447623a2b?activity=1"
